ID	locution1	locution2	proposition1	proposition2	label	prep_needed	locution1_corrected	locution2_corrected	proposition1_corrected	proposition2_corrected
QT30_115	There is other evidence that suggests from December cases are going down	the imperial College study is scary in that it doesn't tell us whether or not the cases are going down from December	there is other evidence that suggests from December cases are going down	the imperial College study is scary in that it doesn't tell us whether or not the cases are going down from December	non-contradiction	false		the imperial College study is scary in that it doesn't tell us whether or not the cases are going down from December		the imperial College study is scary in that it doesn't tell us whether or not the cases are going down from December
QT30_236	we're still in the middle of a raging global pandemic	We all want our lives and livelihoods back	we're still in the middle of a raging global pandemic	we all want our lives and livelihoods back	contradiction	false				
QT30_431	"the more restrictions you put on people's rights to protest, the more of a sort of state we're becoming where if you want to speak out, if you want to make your feelings heard"	blocking a road is the right way to go about things	"the more restrictions you put on people's rights to protest, the more of a sort of state we're becoming where if you want to speak out, if you want to make your feelings heard"	blocking a road is not the right way to go about things	contradiction	true				
QT50_509	what we can do as a country is show international leadership by doing things the right way	we cannot be responsible necessarily for the whole world	what we can do as a country is show international leadership by doing things the right way	we cannot be responsible necessarily for the whole world	non-contradiction	false				
QT50_463	that was unrelated	I was at the Conservative Party Conference	being at a Conservative Party Conference was unrelated to Isabel Hardman's mental breakdown six years ago	Isabel Hardman was at the Conservative Party Conference at the time of her mental breakdown six years ago	non-contradiction	false				
QT30_452	we need both	Government should be getting on with the crisis or we are distracted	the UK Government need to get on with both the COVID-19 crisis and the question of Boris Johnson's extension	the UK Government should be getting on with the COVID-19 crisis or we are distracted	non-contradiction	true				
QT30_411	"in another, we don't"	We expect a certain amount of moral standing with politicians in one sense	in another sense we don't	we expect a certain amount of moral standing with politicians in one sense	non-contradiction	false				
QT30_92	I know I'm not giving an answer	I would like to follow the clinical advice	Matt Hancock knows he's not giving an answer	Matt Hancock would like to follow the clinical advice	contradiction	false	I know I'm not giving an answer			
US2016_16	I think the big problem this country has is being politically correct	"And frankly , what I say , and oftentimes it 's fun , it 's kidding"	the big problem this country has is being politically correct	"what TRUMP says , and oftentimes it 's fun , it 's kidding"	non-contradiction	false				
QT30_481	which I dispute	If they were right	Thangam Debbonaire disputes that the government were right	the government were right	contradiction	false				
QT50_22	Maggie is a wonderful exception	Isn't that because scientists don't want to be politicians	Maggie is a wonderful exception	that's because scientists don't want to be politicians	contradiction	true				
QT50_453	would like to retire early	"that has never been more the case than at the moment where you just have exhausted staff from the pandemic, traumatised staff from the pandemic, who are still turning up"	NHS staff would like to retire early	"NHS staff going above and beyond has never been more the case than at the moment where you just have exhausted staff from the pandemic, traumatised staff from the pandemic, who are still turning up"	contradiction	false				
QT50_383	We shouldn't hate anyone	"In the first debate I threw away a flippant line where I said let's agree in the outset that we love Scotland, hate the Tories"	we shouldn't hate anyone	"in the first debate I threw away a flippant line where I said let's agree in the outset that we love Scotland, hate the Tories"	contradiction	false				
QT50_477	"what's most corrosive in this from any perspective, whether it's financial, economic or social, is to give in to fatalism"	there is a realism around 1.5 degrees	"what's most corrosive in this from any perspective, whether it's financial, economic or social, is to give in to fatalism"	there is a realism around 1.5 degrees temperature rises	non-contradiction	false	"what's most corrosive in this from any perspective, whether it's financial, economic or social, is to give in to fatalism"		"what's most corrosive in this from any perspective, whether it's financial, economic or social, is to give in to fatalism"	
QT50_323	the 5% has gone right now	the cut for people earning a lot less is not going to happen until April	the 5% cut has gone right now	the cut for people earning a lot less is not going to happen until April	non-contradiction	false				
QT50_612	that's what's happening in Wales	what we won't do is to cancel a road-building project	what's happening in Wales is that road-building projects are being cancelled	what we won't do is to cancel a road-building project	contradiction	false	that's what's happening in Wales		what's happening in Wales is that road-building projects are being cancelled	
QT30_218	we know that the coronavirus mutates when it's in high circulation	there may not have been a variant of concern	we know that the coronavirus mutates when it's in high circulation	there may not have been a variant of concern	non-contradiction	false				
QT50_161	not because of his wife's tax arrangements	there is clear evidence that Rishi Sunak is out of touch	not because of Rishi Sunak's wife's tax arrangements	there is clear evidence that Rishi Sunak is out of touch	non-contradiction	false				
QT30_160	we should be focused on our recovery	that would bring uncertainty	we should be focused on our recovery	a wild cat illegal referendum would bring uncertainty	non-contradiction	true				
US2016_26	the kind of plan that Donald has put forth would be trickle-down economics all over again	"We also , though , need to have a tax system that rewards work and not just financial transactions"	the kind of plan that TRUMP has put forth would be trickle-down economics all over again	"We also , though , need to have a tax system that rewards work and not just financial transactions"	non-contradiction	false				
QT30_372	there's only one thing that I kind of sigh about when it comes to the Scottish Government as it is	I would be so proud for there to be an independent Scotland	there's only one thing that AudienceMember 20211028QT28 kind of sighs about when it comes to the Scottish Government as it is	AudienceMember 20211028QT28 would be so proud for there to be an independent Scotland	non-contradiction	false				
QT50_652	now we've got governments that are trying to rip up those obligations	We helped build the universal declaration on human rights	now we've got governments that are trying to rip up those obligations on human rights and refugees	Oxfam helped build the universal declaration on human rights	non-contradiction	false				
