ID	locution1	locution2	proposition1	proposition2	locution1_corrected	locution2_corrected	proposition1_corrected	proposition2_corrected	label	prop_needed
QT30_000	we have 13,000 and never more than half have been in use	About eight weeks ago people said we would run out of the ventilators	the UK has 13,000 ventilators and never more than half have been in use	about eight weeks ago people said the UK would run out of the ventilators					Contradiction	False
QT30_001	We have nearly doubled those and no more than half of those have ever been used by virus patients	People said we would run out of intensive care beds	the UK have nearly doubled available intensive care beds and no more than half of those have ever been used by Coranavirus patients	people said the UK would run out of intensive care beds					contradiction	 True
QT30_002	"but I can see the psychological damage that potentially is happening to a whole generation of 
children."	I don't work in education,	Claire Cooper can see the psychological damage that potentially is happening to a whole generation of children	Claire Cooper doesn't work in education					non-contradiction	 False
QT30_003	It sounded as if it was the next big thing	The app seems to be having a few teething problems	the app sounded as if it was the next big thing	the tracing app seems to be having a few teething problems					contradiction	False
QT30_004	one in every two people go and see a play or musical every year	we think it is an elitist thing	one in every two people go and see a play or musical every year	we think art is an elitist thing					Self-Contradiction	False
QT30_005	but that exercise, Signus, did identify very years ago the problems that would be faced by this country in the event of a global pandemic	The test, track and trace it is great we have this technology	"the track and trace exercise did identify meny years ago the problems that 
would be faced by this country in the event of a global pandemic"	the test, track and trace it is great we have this technology					non-contradiction	 True
QT30_006	they should be available locally I would have thought	Tests are only available online	Eleanor thinks Coronavirus tests should be available locally	Coronavirus tests are only available online					Contradiction	False
QT30_007	what really matters is us having the pandemic under control and being able to get back to life much newer to normal	I am beginning to hear coming through, that people feel there's been a lot of talk about what Dominic Cummings did or didn't do	us having the pandemic under control and being able to get back to life much newer to normal really matters	Helen Whatley is beginning to hear coming through, that people feel there's been a lot of talk about what Dominic Cummings did or didn't do					Contradiction	False
QT30_008	have behaved with arrogance and with disrespect to the public	She accepted there was a potential damage to public consent and participation	Dominic Cummings and the Conservative party have behaved with arrogance and with disrespect to the public	Katherine Calderwood accepted there was a potential damage to public consent and participation					Non-Contradiction	False
QT30_009	I think that this is really more of a challenge that we keep on being promised things are going to be here and then they're not	The app question is interesting	the track and trace system is really more of a challenge than what we keep on being promised that things are going to be here and then they're not	the track and trace app question is interesting					non-contradiction	True
QT30_010	that is one of the areas where I think we have seen Boris Johnson actually, you know, fail	in terms of how viable this contact tracing operation is going to be, an awful lot of that does depend on Government communication	"Government communication is one of the areas where Alex Massie thinks we have seen Boris Johnson 
actually, you know, fail"	in terms of how viable this contact tracing operation is going to be, an awful lot of that does depend on Government communication					non-contradiction	 True
QT30_011	even if you are told to self-isolate	you have to leave home to do that	even if you are told to self-isolate	you have to leave home to make sure your child is safe					Contradiction	False
QT30_012	but you have problems with that	you are told to self-isolate at home for two weeks	but you have problems with self-isolating at home	you are told to self-isolate at home for two weeks					Contradiction	False
QT30_013	we do need to have something which is economically sustainable	recognise the costs of this	we do need to have something which is economically sustainable in supporting people being able to afford what they need in life	we need to recognise the costs of people being able to afford what they need in life					Non-contradiction	True
QT30_014	there is still a residual degree of goodwill for the Government	even though patience is beginning to wear thin	there is still a residual degree of goodwill for the Government	even though patience is beginning to wear thin					Self-Contradiction	False
QT30_015	thousands and thousands of people are dying in care homes	you are throwing a protective ring around care homes	thousands and thousands of people are dying in care homes	you are throwing a protective ring around care homes					Contradiction	False
QT30_016	you can't just allow that mistakes will be make	you allow that mistakes will be made in a fiercely complicated, unprecedented set of situations	you can't just allow that mistakes will be make	you allow that mistakes will be made in a fiercely complicated, unprecedented set of situations					Contradiction	False
QT30_017	You have to admit to them	you can't just allow that mistakes will be make	you have to admit to the public	you can't just allow that mistakes will be make					Non-contradiction	False
QT30_018	It seems to me to be infantilising of Government ministers to try to pretend that could be the case	you treat people like adults	it seems to Alex Massie to be infantilising of Government ministers to try to pretend that could be the case	you treat people like adults					contradiction	False
QT30_019	if people follow social distancing, if people are following social distancing and minimising their contact, so if they are having to go to a work place to work but social distancing in the work place is really important, because that's how you avoid becoming somebody who is a contact of the sort that needs to isolate	!I recognise there is a risk that you might be asked to do that more than once,	if people are following social distancing and minimising their contact, so if they are having to go to a work place to work but social distancing in the work place is really important, because that's how you avoid becoming somebody who is a contact of the sort that needs to isolate, the possibility of doing self-isolation over and over again will be low	Helen Whately recognizes that there is a risk that one might be asked to do self-isolation more than once					Non-contradiction	False
