ID	locution1	locution2	proposition1	proposition2	label	prep_needed	issues	
QT50_588	every single one of the people I speak to outside the UK find it incredibly difficult now to ship wine into the UK	producers to bring into it	every single one of the people  AudienceMember20230112QT29 speaks to outside the UK find it incredibly difficult now to ship wine into the UK	the UK is one of the most important countries from an export point of view for wine producers to bring into	Non-Contradiction	FALSE		
QT30_474	they've never been granted	I've tabled a number of urgent questions to drag the Foreign Secretary to the House of Commons in order to answer questions about this	questions the Foreign Secretary was dragged to the House of Commons to answer have never been granted	Lisa Nandy has tabled a number of urgent questions to drag the Foreign Secretary to the House of Commons in order to answer questions about Afghanistan	Non-Contradiction	FALSE		
QT30_112	those checks will be there	You can call it a border or not	those checks will be there	you can call it a border or not	Non-Contradiction	FALSE		
QT50_642	let’s think about the next five/50 days when people are going to need to be able to get around on buses and on better public transport	we should think about 2050	let’s think about the next five/50 days when people are going to need to be able to get around on buses and on better public transport	we should think about 2050	Self-Contradiction	FALSE		
QT50_109	take what the Russians are saying very, very sceptically	there is some course for hope	take what the Russians are saying very, very sceptically	there is some course for hope in regards to the Russia-Ukraine war	Non-Contradiction	FALSE		
QT50_545	there is a lot of politics in it of course	the position is, the way it's worked, and by the way, not just under the Conservative Government but under previous governments is that these decisions, you try to take the politics out of it	there is a lot of politics in the decision about the pay for public sector workers of course	with these decisions you try to take the politics out of the NHS pay debate	Self-Contradiction	FALSE		
QT50_75	they are anxious	people are desperate to start earning again	people are anxious	people are desperate to start earning again	Non-Contradiction	FALSE		
QT50_682	what has been put in place for young people	we're talking about young people and supporting them	little has been put in place for young people	we're talking about young people and supporting them	Self-Contradiction	FALSE		
US2016_7	This fact is incorrect	It's quite scary to imagine that everyone on that stage but Bernie is a Billionaire	this fact is incorrect	it's quite scary to imagine that everyone on that stage but Bernie is a Billionaire	Self-Contradiction	FALSE		
QT50_43	it plainly is	One shouldn't have to say integrity is important in public life	integrity in public life is plainly important	one shouldn't have to say integrity is important in public life	Non-Contradiction	FALSE		
QT50_31	It's not the way to do this	They have to reverse ferret in front of those very staff who have built their trust	reverse ferret in front of those very staff who have built their trust is not the way to do this	the Government has to reverse ferret in front of those very staff who have built their trust	Self-Contradiction	FALSE		
QT50_397	not the party	they should have the best interests of the country uppermost in their minds	the politicians should not have the party uppermost in their minds	the politicians should have the best interests of the country uppermost in their minds	Non-Contradiction	FALSE		
QT30_292	There is no support for us	which is good	there is no support for us	it is good that people are staying at home	Non-Contradiction	FALSE		
QT30_264	the government said would never happen	for those farmers which are going to be undercut	the government said farmers being undercut would never happen	for those farmers which are going to be undercut	Self-Contradiction	FALSE		
QT50_226	we do	We know that Boris Johnson doesn't have a personal regard for the law	we do have regard for the law	we know that Boris Johnson doesn't have a personal regard for the law	Non-Contradiction	FALSE		
QT50_558	unless you get on top of inflation	Winston Churchill, you talked about Conservatives, he was called the treasure in the heart of every man	unless you get on top of inflation	Winston Churchill, he was called the treasure in the heart of every man	-	TRUE		
QT50_626	I’m worried where it’s going to start the rewriting of classics and popular culture	I hope it’s going to open a discussion on social change	AudienceMember 20230330QT26 is worried where the rewriting of Roald Dahl books is going to start the rewriting of classics and popular culture	AudienceMember 20230330QT26 hopes the rewriting of Roald Dahl books is going to open a discussion on social change	Non-Contradiction	FALSE		
QT30_193	I don't think it is	isn't Labour the natural division between it now	Rose Unknown doesn't think Labour is the natural division between a Tory government	Labour is the natural division between a Tory government now	Self-Contradiction	FALSE		
QT50_410	this is the sixth richest economy in the world	It is desperate	Britain is the sixth richest economy in the world	it is desperate in the NHS	Non-Contradiction	FALSE		
QT30_307	I don't think we are back to normal	the message coming out from the government will be we are back to normal	Andy Burnham doesn't think we are back to normal	the message coming out from the government will be we are back to normal	Self-Contradiction	FALSE		
QT50_327	not happening	We need to unlock the building that's around	unlocking the building that's around is not happening	we need to unlock the building that's around	self-Contradiction	FALSE		
QT50_256	when they do it is cutting funding for towns	they don't anything	when the SNP do do something, it is cutting funding for towns	the SNP don't do anything in consultations	self-Contradiction	FALSE		
QT50_432	or if it’s an opening offer	I don’t know whether the 17 and a half per cent is really exactly what the nurses want	Emily Thornberry doesn’t know whether the 17 and a half per cent pay rise is or is not an opening offer	Emily Thornberry doesn’t know whether the 17 and a half per cent is or is not really exactly what the nurses want	Non-Contradiction	FALSE		
QT30_460	the substantial difference is going to be made when we allow other manufacturers, countries, to safely manufacturer these vaccines	Do both	the substantial difference is going to be made when we allow other manufacturers, countries, to safely manufacturer these vaccines	the UK Government should send vaccines abroad and ease the intellectual property rules around who owns this vaccine technology	Non-Contradiction	FALSE		
QT50_365	things like that were going to happen once in a generation, once in a lifetime	I didn't want Brexit	things like Brexit were going to happen once in a generation, once in a lifetime	AudienceMember 20221020QT31 didn't want Brexit	Non-Contradiction	FALSE		
QT50_263	yet you stayed	You knew it	yet Bim Afolami stayed in his post	Bim Afolami knew that Boris Johnson was wrong and what he was doing to politics in this country	self-Contradiction	FALSE		
QT50_285	why is anyone doing it	it's so awful to work on the train lines	there are people working on train lines	it's so awful to work on the train lines	Non-Contradiction	FALSE		
QT50_624	she’s committed a crime get her back here	I’m proud to be British and I’m not sure I can see that she can pose a threat	Shamima Begum committed a crime so get her back here	AudienceMember 20230330 is proud to be British and they're not sure they can see that Shamima Begum can pose a threat	Non-Contradiction	FALSE		
QT30_375	don't dehumanise to the lengths that some might	every politicians does have family scrutinised, criticised, hold politicians accountable, do all of that, that's a life bud of our democracy	don't dehumanise to the lengths that some might	every politicians does have family scrutinised, criticised, hold politicians accountable, do all of that, that's a life bud of our democracy	-	TRUE		
QT30_466	we have to trust that they are making the decisions in the best interests of people in their care	it's difficult	we have to trust that our carers and our health system  are making the decisions in the best interests of people in their care	having people in care and not being able to see them is difficult	Non-Contradiction	FALSE		
QT50_259	this is where local planning policies need to be more sensitive	I'm not in favour of a marketed intervention	housing is where local planning policies need to be more sensitive	Iain Anderson is not in favour of a market intervention	self-Contradiction	FALSE		
QT30_161	All of these things would play second fiddle to a nationalist government who are only interested in separation	our parliament has to be focused to protect people's jobs	protecting people's jobs, supporting the NHS and rebuilding our educational standards would play second fiddle to a nationalist government who are only interested in separation	our parliament has to be focused to protect people's jobs	Non-Contradiction	FALSE		
QT50_688	it's not fast enough	you go around my constituency and 650 up and down this country, you'll see building going on right now	the building of houses is not going fast enough	you go around my constituency and 650 up and down this country, you'll see building going on right now	Non-Contradiction	FALSE		
QT30_163	we can do something different	that's more of the same	we can do something different	keeping Scotland in the union is more of the same	Non-Contradiction	FALSE		
QT50_514	The nurses one has come as a real shock	over the years, we've got used to different parts of business or organisations going on strike	the nurses strike has come as a real shock	over the years, we have got used to different parts of business or organisations going on strike	Self-Contradiction	FALSE		
QT30_147	so many people have sacrificed and we don't want to risk what we've gained in terms of driving the level of the virus right down	we all want to get back to the position where we can have all the liberties back, the freedoms that we lost	so many people have sacrificed and we don't want to risk what we've gained in terms of driving the level of the virus right down	we all want to get back to the position where we can have all the liberties back, the freedoms that we lost	Self-Contradiction	FALSE		
QT30_14	there is still a residual degree of goodwill for the Government	even though patience is beginning to wear thin	there is still a residual degree of goodwill for the Government	even though patience is beginning to wear thin	Self-Contradiction	FALSE		
QT30_83	this is totally different this time	there’s a least of the two evils, if you will	this is totally different this time	there’s a least of the two evils, if you will	Non-Contradiction	TRUE		
QT50_86	there needs to be significantly more movement there	I know there has been significant movement there	there needs to be significantly more movement in terms of sanctions	Kirsten Oswald knows there has been significant movement in terms of sanctions	Non-Contradiction	FALSE		
QT50_35	you are going through your notes finding all sorts of other things	he has given you the information	AudienceMember 20220210QT22 is going through their notes finding all sorts of other things	Robin Shattock has given AudienceMember 20220210QT22 the information	Self-Contradiction	FALSE		
QT50_571	it is worth saying this legislation passed in the Scottish party with an overwhelming majority	it has been quite at times a toxic debate in Scotland	it is worth saying the Equality Act legislation passed in the Scottish parliament with an overwhelming majority	the Equality Act debate has been quite at times a toxic debate in Scotland	Self-Contradiction	FALSE		
QT50_229	the government's going ahead	Every single party in Stormont from both communities have voted against it and stood up against it	the government's going ahead	every single party in Stormont from both communities have voted against the legislation which will grant amnesty to terrorists from the Troubles and stood up against it	Self-Contradiction	FALSE		
QT50_82	and they didn't listen	We thought this and we said to government what were the dangers on our own doorstep	the government didn't listen to the warnings	we thought this and we said to government what were the dangers on our own doorstep	Non-Contradiction	FALSE	"Prop2: ""we thought this and we said to the government what were the dangers on our own doorstep"""	
QT30_68	not primary issues	we’re talking about not unimportant issues	we are not talking about primary issues	we are talking about not unimportant issues	Non-Contradiction	FALSE		
QT50_434	we certainly can’t afford a great deal more	that isn’t only about possibly a slightly higher pay rise	we certainly can’t afford a great deal more in terms of pay rise	good will isn’t only about possibly a slightly higher pay rise	Non-Contradiction	FALSE		
QT30_343	I wanted to go to Edinburgh	Being in Eastleigh we're close to an airport and a station which have fantastic ability to get anywhere	AudienceMember 20211111QT18 wanted to go to Edinburgh	being in Eastleigh we're close to an airport and a station which have fantastic ability to get anywhere	Non-Contradiction	FALSE		
QT50_341	It is a lot more difficult to actually make them work and come up with firm plans for the future	it is easy to make promises when you're in opposition	it is a lot more difficult to actually make the plans work and come up with firm plans for the future	it is easy to make promises when you're in opposition	Non-Contradiction	FALSE		
QT30_442	any rational person would disagree with their methods	I think any rational person would agree with their cause	any rational person would disagree with the protestor's methods	Richard Walker thinks any rational person would agree with the protestor's cause	Non-Contradiction	FALSE		
QT50_416	the population is getting older, people need and can receive more support	we’re investing significant funds into social care	the population is getting older, people need and can receive more support	we’re investing significant funds into social care	Non-Contradiction	FALSE		
QT30_439	The cause I do agree with	it's important to say, I don't agree with the means at all	the cause Munira Wilson does agree with	it's important to say, Munira Wilson doesn't agree with the means at all	Non-Contradiction	FALSE		
QT50_187	to demonise them and say it's just because they don't care that tens of thousands of people died is coarsening a debate in a way that is not fair to individuals across the board	you can say you got things wrong and we'll have an enquiry	to demonise them and say it's just because they don't care that tens of thousands of people died is coarsening a debate in a way that is not fair to individuals across the board	you can say you got things wrong and we'll have an enquiry	Non-Contradiction	FALSE		
QT30_282	I mean it worked because we had to do it to make it work for Zoom	It was absolutely terrible	Benjamin Zephaniah means it worked because we had to do it to make it work for Zoom	teaching on Zoom was absolutely terrible	Self-Contradiction	FALSE		
QT30_321	You don't need to be paid in order to be a whistle-blower	He was being paid for that	you don't need to be paid in order to be a whistle-blower	Owen Paterson was being paid for that	Self-Contradiction	FALSE		
US2016_0	she's staying above the noise	most of what she said has been fluff and targeted rhetoric	Hilary Clinton is staying above the noise	most of what Hillary Clinton said has been fluff and targeted rhetoric	Non-Contradiction	FALSE		
QT30_295	I don't want to force anybody to have a vaccine	I would love to see the passports used	Jeremy King does not want to force anybody to have a vaccine	Jeremy King would love to see the passports used	Self-Contradiction	FALSE		
QT50_617	it’s not true that Wales…Welsh government are denying any future road building	it’s quite lazy just to dismiss policies as untrue	it’s not true that the Welsh government are denying any future road building	it’s quite lazy just to dismiss policies as untrue	Self-Contradiction	FALSE		
QT30_410	I don't know why they don't give it	that's the only reason why they don't give it	Tim Stanley doesn't know why they number 10 doesn't answer the question	the only reason why number 10 doesn't answer the question is because the answer is embarassing	Self-Contradiction	FALSE	"Prop1: ""Tim Stanley doesn't know why they number 10 doesn't answer the question"""	
QT50_529	we all assumed was a barrier across which people couldn't and wouldn’t come	The sea, which we all assumed was a barrier across which people couldn't and wouldn’t come, has now become, basically a highway	we all assumed the sea was a barrier across which people couldn't and wouldn’t cross	the sea has now become, basically, a highway	Non-Contradiction	FALSE		
QT50_316	I was told today that the lender has pulled the offer and the best I can get is 10.5%	I was told my initial interest rate would be 4.5%	AudienceMember 20221006QT62 was told today that the lender has pulled the offer and the best they can get is 10.5%	AudienceMember 20221006QT62 was told their initial interest rate would be 4.5%	Self-Contradiction	FALSE		
QT50_310	than having a horrible recession	prevent people going bankrupt	we should not have a horrible recession	we should prevent people going bankrupt	Non-Contradiction	FALSE		
QT50_287	I think they should be	the question is really not whether we want to increase teachers' salaries	Bim Afolami thinks teachers' salaries should be increased	the question is really not whether we want to increase teachers' salaries	Non-Contradiction	FALSE		
