ID	prime_sample	label
QT30_399	'it is a lot of people now don't want to cut up meat', 'Maybe it is the conditions'	non-contradiction
QT30_295	'I don't want to force anybody to have a vaccine', 'I would love to see the passports used'	self-contradiction
QT50_383	'We shouldn't hate anyone', 'In the first debate I threw away a flippant line where I said let's agree in the outset that we love Scotland, hate the Tories'	self-contradiction
QT50_025	'I can't wait to see her go against Priti Patel in the despatch box', 'Yvette is obviously a loss to the home affairs economy'	non-contradiction
QT30_298	'we also need to see the balance that Nigel's referred to', 'The reality is we're going to vaccinate our population'	non-contradiction
QT50_649	'the barracks will house something like 5,000', 'in terms of being credible, you've got 166,000 odd people waiting to have their asylum claim processed'	self-contradiction
US2016_058	'how do you justify ending a life just because it begins violently, through no fault of the baby', 'you favor a rape and incest exception to abortion bans'	self-contradiction
QT50_504	'rather than care for patients', 'We’ve spent the debate talking about healthcare while we were talking about pay for nurses'	non-contradiction
QT30_526	'There is a Covid pandemic', 'Starve them out'	non-contradiction
QT30_342	'that is the sort of things people need to do', 'It is not sexy talking about insulating your loft'	non-contradiction
US2016_020	'as if that 's a huge game changer', 'A lot of people are talking about defunding planned parenthood'	self-contradiction
QT50_453	'would like to retire early', 'that has never been more the case than at the moment where you just have exhausted staff from the pandemic, traumatised staff from the pandemic, who are still turning up'	self-contradiction
QT50_228	'All of the things that Boris Johnson and his government have shown they cannot deliver', 'The way forward is going to be statecraft, diligence, and graft'	self-contradiction
QT30_169	'that's also one of the routes that we can have back to prosperity, a more equal and just country', 'we're being dragged out of the EU against our will'	self-contradiction
QT50_468	'China, that’s the world’s largest emitter of greenhouse gases', 'Xi Jinping of China, that’s the world’s largest emitter of greenhouse gases, Xi Jinping is not attending'	non-contradiction
QT30_003	'It sounded as if it was the next big thing', 'The app seems to be having a few teething problems'	self-contradiction
QT30_226	'when you travel across the world most people are pretty similar in terms of what they want out of their lives', 'we get caught up on religion and beliefs and skin colour and our differences'	self-contradiction
QT50_367	'The fact is more people voted for union-supporting parties and nationalist parties', 'The Deputy First Minister was saying that the 2021 Scottish election, the SNP did the best'	non-contradiction
QT50_176	'We have so much more homelessness in this country than we did 12 years ago', 'They have the ability to make lives better'	self-contradiction
QT30_466	'we have to trust that they are making the decisions in the best interests of people in their care', 'it's difficult'	self-contradiction
QT50_314	'That's too late', 'Now we have to wait until 23rd November'	self-contradiction
QT30_175	'this is a problem that I have with the SNP approach of setting targets and putting their hopes in things like carbon capture', 'we need to actually be practical about our obligations under the climate…under the Paris Agreement'	self-contradiction
QT50_271	'God help us if it rains again because we will lose that link along the estuary', 'we have been promised things time and time again about better transport link'	self-contradiction
QT50_266	'Boris has led us out of that and followed the will of the people in the country, got through that, and got us Brexit, and dealt with covid', 'I wouldn't defend that'	self-contradiction
QT30_390	'we haven't got this over the line', 'I believe Steve Barkley who is charged with saving Christmas yet again is doing everything he can'	non-contradiction
QT30_268	'It is going to be a tiny, tiny proportion of food that's going to be coming for Australia', 'the largest farm there is something like the size of the state of Israel'	self-contradiction
QT30_012	'but you have problems with that', 'you are told to self-isolate at home for two weeks'	self-contradiction
QT50_610	'The reality is that all countries in the western world are facing economic challenges at the moment', 'the IMF forecast the UK to be the only G7 economy that’s going to shrink this year'	self-contradiction
QT50_195	'I would pick up on Charlotte's point about who makes the decision', 'Wilfred makes a really interesting point'	non-contradiction
QT50_071	'if they are not', 'They need to be binding'	self-contradiction
QT50_534	'he's not saying it', 'Many people have asked him, to try and get him to say it'	non-contradiction
QT50_556	'the royals have been turned into this kind of hideous cartel where they're feeding each other to the wolves in order to advance their own interests', 'being able to be a family'	self-contradiction
