ID	locution1	locution2	proposition1	proposition2	Corrected locution1	Corrected locution2	Corrected proposition1	Corrected Proposition 2	label	prep_needed																			

QT50_332	They've never really got a proper answer for anything	I keep hearing it from Labour what they're going to do	the Labour Party have never really got a proper answer for anything	AudienceMember 20221006QT93 keeps hearing from the Labour Party what they're going to do 					non-contradiction	False																			
QT30_212	I called out the issue of the failure to put India onto the red list for 14 days after Pakistan and Bangladesh had already been added	the challenge was put to me about captain hindsight	Nick Thomas-Symonds called out the issue of the failure to put India onto the red list for 14 days after Pakistan and Bangladesh had already been added	the challenge was put to Nick Thomas-Symonds about captain hindsight    					non-contradiction	False																			
QT50_395	now the factions within those parties are no longer talking to each other and no longer willing to compromise	Parties used to be broad churches	now the factions within those parties are no longer talking to each other and no longer willing to compromise	parties used to be broad churches					contradiction	False																			
QT50_448	that has got to stop	"Politicians seem to be quite happy to go on news channels just spouting 
what they actually know is a damn right lie"	politicians going on the news channels just spouting what they actually know is a damn right lie has got to stop	politicians seem to be quite happy to go on news channels just spouting what they actually know is a damn right lie 					contradiction	True																			
QT50_190	Sadly, I do not think they will	they owe it to those bereaved families to prove that they will learn lessons	sadly, Louise Haigh does not think the government will learn their lessons	the government owe it to those bereaved families to prove that they will learn lessons					contradiction  	True																			
QT30_168	I'd prefer none of it	it's now the SNP's proposals are now saying they're going to wait now until 2023	Ryan Unknown would prefer none of the talk about Scottish independence vote	the SNP's proposals are now saying they're going to wait with the question of Scottish independency vote now until 2023					non-contradiction	True																			
QT30_179	that work is not happening	We've got to invest seriously and genuinely in those renewable jobs of the future	the investment into renewables is not happening	we've got to invest seriously and genuinely in those renewable jobs of the future  					contradiction	True																			
QT50_486	which is a low carbon form of energy	Caroline, youâ€™re against nuclear power	nuclear power is a low carbon form of energy	Caroline Lucas is against nuclear power    					non-contradiction	True																			
QT30_523	what we don't want to do is see that happen here on the streets of the UK	we know they're under high likelihood of being targeted for reprisals	what we don't want to do is see women targeted here on the streets of the UK	we know they're under high likelihood of being targeted for reprisals  					contradiction	True																			
QT30_196	it isn't at the moment	it provides hope and inspiration for people	the Labour Party isn't good and doesn't provide hope and inspiration for the people at the moment	Martin Unknown wants there to be a Labour Party that provides hope and inspiration for people					contradiction	True																			
QT30_413	the government can't wait until the next election to have to make choices	there are choices to make	the government can't wait until the next election to have to make choices	there are choices to make					non-contradiction 	False																			
QT50_307	but it presents us with so many opportunities to create brilliant jobs across our country, well paid, highly skilled	Climate change presents us with so many challenges	climate change it presents us with so many opportunities to create brilliant jobs across our country, well paid, highly skilled	climate change presents us with so many challenges					non-contradiction	False																			
QT50_503	policemen get injured, people get injured, drivers get injured	You consider it to be peaceful	policemen get injured, people get injured, drivers get injured	Caroline Lucas considers recent protests to be peaceful    					contradiction	True																			
QT50_108	they need more weapons	I'm feeling more optimistic	the Ukrainians need more weapons	Zanny Minton Beddoes is feeling more optimistic					non-contradiction	False																			
QT30_172	it has to actually be a national mission	WhenÂ we talk about recovery it just can't be a campaign slogan	recovery has to actually be a national mission	whenÂ we talk about recovery it just can't be a campaign slogan	recovery has to actually be a national mission	When we talk about recovery it just can't be a campaign slogan	it has to actually be a national mission	when we talk about recovery it just can't be a campaign slogan	non-contradiction   False																				
QT50_572	a lot of these stories are made up	some of you might not believe that given what you have read in the press	a lot of the stories in the press are made up	"some of you might not believe that there is no way somebody who has committed rape would be moved into the women's 
estate given what you have read in the press"					non-comtradiction	True																			
QT50_134	the polling shows that 80 per cent of the population actually think that wind farms onshore are a good thing	people say that onshore wind farms are not popular	"the polling shows that 80 per cent of the population actually think that wind farms onshore are a good thing, showing that 
onshore wind farms are popular"	people say that onshore wind farms are not popular					contradiction	False																			
QT30_487	it's absolutely not academic for the 3 million people who work in hospitality	"after an unexplained two-week delay from the court, the judgment was that it 
was academic"	the case is absolutely not academic for the 3 million people who work in hospitality	after an unexplained two-week delay from the court, the judgment was that the case was academic					contradiction	False																			
