ID	locution 1	locution 2	proposition 1	proposition 2	label	prep_needed																			

QT50_29	"to give us 200 pounds which, and this is the small print, we have to pay back so you might 
call the Government's strategy of dealing with the problem which has been exacerbated by 
Government as socialism with a miserly face where the Government takes your money, 
gives it back to you then asks you to return it
"	"The Government's proposal to support us during this at a time in which the 
average bill will rise by 700 pounds is to give 150 pounds back via Council 
tax which is good"	"the Government gives us 200 pounds which, and this is the small print, we have to pay back so you might call the Government's strategy of dealing 
with the problem which has been exacerbated by Government as socialism with a miserly face where the Government takes your money, gives it back 
to you then asks you to return it"	"the Government's proposal to support us during this at a time in which the average bill will rise by 700 pounds is to give 150 pounds back via Council 
tax is good"	non-contradiction	 False																			
QT50_211	there clearly was an issue about whether or not it would be right to single out this particular industry	we have had the announcement	there clearly was an issue about whether or not it would be right to single out this particular industry	we have had the announcement of the windfall tax	non-contradiction	 True																			
QT30_471	which I find absurd	"Up until Monday morning the Home Office's official guidance said they could 
be returned to Kabul safely"	Mehdi Hasan finds the Home Office's official guidance saying Afghan asylum seekers could be returned to Kabul safely absurd	up until Monday morning the Home Office's official guidance said Afghan asylum seekers could be returned to Kabul safely	contradiction	 True																			
QT30_74	what’s important here is that we see action	"It’s all very well the Labour party saying sorry, and Keir Starmer did give an 
apology on the day he was elected"	what’s important here is that we see action from the Labour party on anti-semitism	it’s all very well the Labour party saying sorry for anti-semitism, and Keir Starmer did give an apology on the day he was elected	non-contradiction	 False																			
QT50_525	"the first thing that Margaret Thatcher did when she came into office, pretty much, was to pay the 
public sector quite large increases"	"the Tory Party seems to believe that Margaret Thatcher was tremendously 
tough, and so they should be like her"	the first thing that Margaret Thatcher did when she came into office was to pay the public sector quite large increases	the Tory Party seems to believe that Margaret Thatcher was tremendously tough, and so they should be like her	contradiction	 False																			
QT50_391	you’re not	"there’s always a danger when you get a new Prime Minister that you think 
you’re getting a new government"	you’re not getting a new government	there’s always a danger when you get a new Prime Minister that you think you’re getting a new government	contradiction	 True																			
QT30_159	we're not pleading for that	it will be an agreement	we're not pleading for the referendum	the result will be an agreement	non-contradiction	 True																			
QT30_420	I'm really concerned that they seem to be making the licences easier to get	I understand that the government need to recruit more HGV drivers	AudienceMember 20210930QT13 is really concerned that the government seem to be making HGV licences easier to get	AudienceMember 20210930QT13 understands that the government need to recruit more HGV drivers	contradiction	 False																			
QT30_209	it's only essential travel	you can go and visit friends and family	it's only essential travel	you can go and visit friends and family	contradiction	 False																			
QT30_258	But the fact of the matter is, and Sarah is right, the failure to close the borders	We all want people to get back to work	the fact of the matter is the failure to close the borders	we all want people to get back to work	non-contradiction	 False																			
