ID	locution 1	locution 2	proposition 1	proposition 2	Corrected locution 1	Corrected locution 2	Corrected proposition 1	Corrected proposition 2	label	prep_needed																			

QT30_219	it should have been expected	there may not have been a variant of concern	an Indian variant of concern should have been expected	there may not have been an Indian variant of concern					non-contradiction	 True																			
QT50_60	there might be a good idea to back another horse, which is the app that's being developed in Korea	We suggest let's do our trials in the Isle of Wight	there might be a good idea to back another horse, which is the app that's being developed in Korea	we suggest let's do our app trials in the Isle of Wight					non-contradiction	 False																			
QT30_20	we have a chance through democracy, to break free, and progress	we need to be honest, face up to it, and accept the fact that we are as much prisoners of our history, as anything else	we have a chance through democracy, to break free, and progress	we need to be honest, face up to it, and accept the fact that we are as much prisoners of our history, as anything else					non-contradiction	 False																			
QT30_369	the Scottish National Party Government in Edinburgh	the Conservative Party is investing and does care about the North East of Scotland	"the Scottish National Party Government in Edinburgh is not investing and does not care about the North 
East of Scotland"	the Conservative Party is investing and does care about the North East of Scotland					non-contradiction	 True																			
QT50_340	Not so suddenly	interest rates were due to go up	interest rates were not due to go up so suddenly	interest rates were due to go up					non-contradiction	 True																			
QT30_88	that is a big hurdle it still hasn’t gone over	if -- it passes the safety data	safety testing is a big hurdle the Pfizer vaccine still has not gone over	if the Pfizer vaccine passes the safety data					contradiction	 True																			
QT30_10	that is one of the areas where I think we have seen Boris Johnson actually, you know, fail	in terms of how viable this contact tracing operation is going to be, an awful lot of that does depend on Government communication	"Government communication is one of the areas where Alex Massie thinks we have seen Boris Johnson 
actually, you know, fail"	in terms of how viable this contact tracing operation is going to be, an awful lot of that does depend on Government communication					non-contradiction	 True																			
QT50_599	It will suit some sectors more than others	flexible arrangements are incredibly important for a whole host of workers across our economy	flexible arrangements will suit some sectors more than others	flexible arrangements are incredibly important for a whole host of workers across our economy					contradiction	 False																			
QT50_687	We are not dealing with fraud properly	that is the priorities	we are not dealing with fraud properly	fraud is the priority					contradiction	 True																			
QT50_153	Disruptive energy technology doesn't have an expert	the innovation programmes that they put together were being run by experts	disruptive energy technology doesn't have an expert	the innovation programmes that they put together were being run by experts					contradiction	 False																			
QT30_515	"it would be a bad assessment to assume he was trying to make a direct link to the conversation that 
had been happening previously"	the Prime Minister's comments were clumsy	"it would be a bad assessment to assume Boris Johnson was trying to make a direct link to the conversation 
that had been happening previously"	the Prime Minister's comments were clumsy					non-contradiction	 False																			
QT30_381	"It struck me to deliver a speech in that fashion on the very day that Universal Credit was coming to an 
end for a lot of people"	Boris Johnson did what Boris Johnson does	"it struck Nick Ferrari for Boris Johnson to deliver a speech in that fashion on the very day that Universal 
Credit was coming to an end for a lot of people"	Boris Johnson did what Boris Johnson does					non-contradiction	 False																			
QT50_67	the so-called R rate, the reproductive rate, is quite similar across the country	I know the prevalence can be quite different in different parts of the county	the so-called R rate, the reproductive rate, is quite similar across the country	the prevalence can be quite different in different parts of the county					non-contradiction	 False																			
QT30_123	On a number of occasions the UK has not followed that advice, the border being one example	the scientists they have been saying since the beginning of the pandemic there are clear strategies to follow to limit the impact it has	on a number of occasions the UK has not followed that advice, the border being one example	the scientists they have been saying since the beginning of the pandemic there are clear strategies to follow to limit the impact it has					contradiction	 False																			
QT30_206	there's a risk of anything which is forced can sometimes have a corresponding resistance	I understand the intention of seeking unity through using the Union Jack for the UK in the whole	there's a risk of anything which is forced can sometimes have a corresponding resistance	Sarah Unknown understands the intention of seeking unity through using the Union Jack for the UK in the whole					non-contradiction	 False																			
QT50_479	we have to also look at the positive things that have come out of that flawed process	We’ve learned that again and again in different countries	we have to also look at the positive things that have come out of that flawed process	we’ve learned again and again in different countries that the COP process is hugely flawed					non-contradiction	 True																			
QT50_248	you don't dare	You do want to	anyone does or doesn't dare to speak up for Boris Johnson	anyone does or doesn't want to speak up for Boris Johnson					contradiction	 True																			
QT30_171	I think we need as a country	we now hear that the Green Party would like us to be ceasing production in the next ten years	Alan Unknown thinks we need further investment in the oil and gas industry as a country	the subsea sector now hear that the Green Party would like the sector to be ceasing production in the next ten years					contradiction	 True																			
QT30_422	The main problem though is the tests couldn't be run because of coronavirus	I've opened up tests	the main problem though is the tests couldn't be run because of coronavirus	Grant Shapps opened up tests					non-contradiction	 False																			
QT50_643	I think Cardiff is reasonably good for public transport once you get out of there	we do not have the kind of public transport that you should all rightly expect	Anita Boateng believes that Cardiff is reasonably good for public transport once you get out of there	Wales does not have the kind of public transport that you should all rightly expect					non-contradiction	 False																			
QT30_494	"they are deliberately at a different level which is something I found interesting when I started to work in 
politics as opposed to business"	Neither of those things are true	"the un-safety and the potential balance of trade issues with regards to sausages and meat are deliberately 
at a different level which is something I found interesting when I started to work in politics as opposed to business"	it's neither true that the sausages and meat are unsafe, or that they will upset the balance of trade					contradiction	 True																			
QT30_52	"we haven’t had for almost a month now the figures of how many people have actually been tested on a 
daily basis"	we’ve got the capacity	"the UK hasn't had for almost a month now the figures of how many people have actually been tested on a 
daily basis"	the UK has got the capacity for COVID19 testing					non-contradition	 True																			
QT50_1	there are different things	we are right to be cautious and anxious	there are different things	we are right to be cautious and anxious					non-contradiction	 False																			
QT50_557	we go oh, isn't it so good for tourism	I think of them as like zoo animals who've been in bred in captivity and they lead these existences where they're clearly really unhappy	we go oh, isn't the monarchy so good for tourism	Ash Sarkar thinks of the royals as like zoo animals who've been in bred in captivity and they lead these existences where they're clearly really unhappy					non-contradiction	 True																			
