ID	locution1	locution1 corrected version	locution2	Locution2 corrected version	proposition1	preposition1 corrected version	proposition2	preposition2 corrected version	label	prep_needed
QT50_253	this question is urgent and it is important		That's what from us me what we have been listening to with our political friends for the last three or 4 minutes		this question is urgent and it is important		lots and lots of politics, no real solutions is what we have been listening to with our political friends for the last three or 4 minutes		Non-contradiction	TRUE
QT30_402	there was no plan		They have had 5 years to prepare for it		there was no plan for Brexit		they have had 5 years to prepare for Brexit		Non-contradiction	FALSE
QT50_251	very difficult if not impossible do proceed with		Our initial commitment, our hope was to create a Sanath engineer company		it is very difficult if not impossible to proceed with creating an engineer company		the Scottish government's initial commitment, their hope was to create a Sanath engineer company		Contradiction	TRUE
QT30_110	no, schools are not safe after all		schools are absolutely safe		no, schools are not safe after all		schools are absolutely safe		Contradiction	FALSE
QT50_519	you failed		You could have led by example, by actually negotiating, and giving nurses what they wanted in Wales		Labour failed		Labour could have led by example, by actually negotiating, and giving nurses what they wanted in Wales		Non-contradiction	FALSE
QT30_414	it's not working		you've mentioned quite a few initiatives that you're doing		what Grant Shapps is doing is not working		Grant Shapps has mentioned quite a few initiatives what they're doing		Contradiction	FALSE
QT30_210	we should regard holidays as essential travel		you can go and visit friends and family		we should regard holidays as essential travel		you can go and visit friends and family		Contradiction	FALSE
QT50_607	this is a pledge		you can try		having the highest sustained growth is a pledge		Thangam Debbonaire can try to have the highest sustained growth		Contradiction	TRUE
QT30_340	I'm not astonished the language is being used		There's no possible explanation for it		Tim Stanley is not astonished the language is being used		there's no possible explanation for that language		Contradiction	FALSE
QT30_224	one thing I have noticed however is potentially the one thing that unifies both sides is a disillusionment in the current political leadership		at times like this as a humble shop keeper it's quite important to put your hands up and not profess to have any superior knowledge to what we all read in the papers or see on the TV		one thing Richard Walker has noticed however is potentially the one thing that unifies both sides is a disillusionment in the current political leadership		at times like this as a humble shop keeper it's quite important to put your hands up and not profess to have any superior knowledge to what we all read in the papers or see on the TV		Non-contradiction	FALSE
