ID	prime_sample	label
QT30_363	'We were sincerely hoping that the UK government would invest the billion pounds that had been promised', 'instead that money is going to projects in England'	non-contradiction
US2016_32	'he really believes that the more you help wealthy people , the better off we 'll be and that everything will work out from there', 'I do n't buy that'	contradiction
US2016_30	'trumped-up trickle-down , because that 's exactly what it would be', 'That is not how we grow the economy'	contradiction
QT30_26	'you talked about this report from Stanford 0.1 to 0.2 per cent', 'as I expect you know'	non-contradiction
QT30_154	'I'm a limited company director myself who's received no help from the government whatsoever', 'I would treat them as a special case'	non-contradiction
QT30_169	'we're being dragged out of the EU against our will', 'that's also one of the routes that we can have back to prosperity, a more equal and just country'	non-contradiction
QT30_448	'NHS England changed their guidance in May', 'then actually GPs just carried on doing it remotely anyway'	non-contradiction
QT30_547	'I would be happy to do that', 'The problem is that would be putting me ahead of the queue in terms of clinical need'	non-contradiction
US2016_27	'people like Hillary Clinton think you grow the economy by growing Washington', 'I think most of us in America understand that people , not the government creates jobs'	contradiction
QT30_505	'The Government is insisting rules were followed at the G7', 'The pictures were there'	non-contradiction
QT30_134	'Our distinction is we think schools should go back first', 'We could say we'll send hospitality back first, but we won't send schools back'	contradiction
QT30_489	'The government said it would be driven by data not dates', 'The next day opening up in England is 17 May'	non-contradiction
QT30_360	'they should get everything thrown at them that we can throw at them in this country', 'yes, we need an education shift'	non-contradiction
QT30_156	' you isolate them as a special group', 'it's quite divisive'	non-contradiction
QT30_390	"'It has to be resolved', 'unless we are saying to these farmers ""We don't want a pig industry in this country""'"	non-contradiction
QT30_534	'there's really good reason at the moment looking at the data as it is', 'we know things could change'	non-contradiction
